Program,Glass,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Bore_Status,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Left-Hand,"Double Bore, 6-9/16""",,,36 6-PANEL DB LH 6-9/16,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore, 6-9/16"". Special features: 36 6-PANEL DB LH 6-9/16. Built for durability and style, perfect for enhancing your home's entryway.",5740242.0,
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Right-Hand,"Double Bore, 6-9/16""",,,36 6-PANEL DB RH 6-9/16,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore, 6-9/16"". Special features: 36 6-PANEL DB RH 6-9/16. Built for durability and style, perfect for enhancing your home's entryway.",5740287.0,
Exterior Pro Program,1-Lite Full View,Steel,Solid Core,Commodity,Smooth,1-Lite Full View,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and 1-lite full view glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517558.0,5740283
Exterior Pro Program,1-Lite Full View,Steel,Solid Core,Commodity,Smooth,1-Lite Full View,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and 1-lite full view glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517559.0,5740224
Exterior Pro Program,1-Lite Full View,Steel,Solid Core,Commodity,Smooth,1-Lite Full View,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and 1-lite full view glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517529.0,5740251
Exterior Pro Program,1-Lite Full View,Steel,Solid Core,Commodity,Smooth,1-Lite Full View,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and 1-lite full view glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517528.0,5740237
Exterior Pro Program,Sunburst,Steel,Solid Core,Commodity,Smooth,Sunburst,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and sunburst glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517561.0,5740277
Exterior Pro Program,Sunburst,Steel,Solid Core,Commodity,Smooth,Sunburst,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and sunburst glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517563.0,5740246
Exterior Pro Program,Sunburst,Steel,Solid Core,Commodity,Smooth,Sunburst,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and sunburst glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517522.0,5740248
Exterior Pro Program,Sunburst,Steel,Solid Core,Commodity,Smooth,Sunburst,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and sunburst glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517543.0,5740285
Exterior Pro Program,4-Lite 3/4 View,Steel,Solid Core,Commodity,Smooth,4-Lite 3/4 View,Single Prehung,36.0,80.0,Bored,Left-Hand,,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and 4-lite 3/4 view glass option (Single Prehung), Left Hand, bored. Built for durability and style, perfect for enhancing your home's entryway.",5517512.0,5740289
Exterior Pro Program,4-Lite 3/4 View,Steel,Solid Core,Commodity,Smooth,4-Lite 3/4 View,Single Prehung,36.0,80.0,Bored,Right-Hand,,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and 4-lite 3/4 view glass option (Single Prehung), Right Hand, bored. Built for durability and style, perfect for enhancing your home's entryway.",5517510.0,5740228
Exterior Pro Program,Half View 9-Lite,Steel,Solid Core,Commodity,Smooth,Half View 9-Lite,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and half view 9-lite glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517532.0,5740260
Exterior Pro Program,Half View 9-Lite,Steel,Solid Core,Commodity,Smooth,Half View 9-Lite,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and half view 9-lite glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517533.0,5740284
Exterior Pro Program,Half View 9-Lite,Steel,Solid Core,Commodity,Smooth,Half View 9-Lite,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and half view 9-lite glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517536.0,5740294
Exterior Pro Program,Half View 9-Lite,Steel,Solid Core,Commodity,Smooth,Half View 9-Lite,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door with a smooth finish and half view 9-lite glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517538.0,5740233
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,Fire-Rated 20 Min - No Brickmould,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Fire-Rated 20 Min - No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517552.0,5740238
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,Fire-Rated 20 Min - No Brickmould,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Fire-Rated 20 Min - No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517553.0,5740281
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,Fire-Rated 20 Min - No Brickmould,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Fire-Rated 20 Min - No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517539.0,5740268
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,Fire-Rated 20 Min - No Brickmould,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Fire-Rated 20 Min - No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517545.0,5740288
Exterior Pro Program,Full Lite Miniblind,Steel,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a Flush design with a smooth finish and full lite miniblind glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517530.0,5740275
Exterior Pro Program,Full Lite Miniblind,Steel,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a Flush design with a smooth finish and full lite miniblind glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517546.0,5740273
Exterior Pro Program,Full Lite Miniblind,Steel,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Flush design with a smooth finish and full lite miniblind glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517551.0,5740243
Exterior Pro Program,Full Lite Miniblind,Steel,Solid Core,Flush,Smooth,Full Lite Miniblind,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Flush design with a smooth finish and full lite miniblind glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517547.0,5740244
Exterior Pro Program,Half Lite Miniblind,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish and half lite miniblind glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517534.0,5740245
Exterior Pro Program,Half Lite Miniblind,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish and half lite miniblind glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517556.0,5740293
Exterior Pro Program,Half Lite Miniblind,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish and half lite miniblind glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517548.0,5740276
Exterior Pro Program,Half Lite Miniblind,Steel,Solid Core,2 Panel,Smooth,Half Lite Miniblind,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish and half lite miniblind glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517549.0,5740291
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,74.0,Bored,Left-Hand,Double Bore,,Mobile Home,,"32.0-inch x 74.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Mobile Home. Built for durability and style, perfect for enhancing your home's entryway.",52417.0,5740226
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,74.0,Bored,Right-Hand,Double Bore,,Mobile Home,,"32.0-inch x 74.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Mobile Home. Built for durability and style, perfect for enhancing your home's entryway.",52401.0,5740239
Exterior Pro Program,9-Lite,Steel,Solid Core,Flush,Smooth,9-Lite,Single Prehung,32.0,74.0,Bored,Left-Hand,Double Bore,,Mobile Home,,"32.0-inch x 74.0-inch Steel Solid Core door, featuring a Flush design with a smooth finish and 9-lite glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Mobile Home. Built for durability and style, perfect for enhancing your home's entryway.",505376.0,5740235
Exterior Pro Program,9-Lite,Steel,Solid Core,Flush,Smooth,9-Lite,Single Prehung,32.0,74.0,Bored,Right-Hand,Double Bore,,Mobile Home,,"32.0-inch x 74.0-inch Steel Solid Core door, featuring a Flush design with a smooth finish and 9-lite glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Mobile Home. Built for durability and style, perfect for enhancing your home's entryway.",505375.0,5740264
Exterior Pro Program,,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,32.0,80.0,Bored,Left-Hand,Single Bore,,No Brickmould,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a Utility Flush design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Single Bore, hinge finish: No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517519.0,5740271
Exterior Pro Program,,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,32.0,80.0,Bored,Right-Hand,Single Bore,,No Brickmould,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a Utility Flush design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Single Bore, hinge finish: No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517524.0,5740227
Exterior Pro Program,,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,36.0,80.0,Bored,Left-Hand,Single Bore,,No Brickmould,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Utility Flush design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Single Bore, hinge finish: No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517521.0,5740262
Exterior Pro Program,,Steel,Solid Core,Utility Flush,Smooth,,Single Prehung,36.0,80.0,Bored,Right-Hand,Single Bore,,No Brickmould,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Utility Flush design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Single Bore, hinge finish: No Brickmould. Built for durability and style, perfect for enhancing your home's entryway.",5517537.0,5740249
Exterior Pro Program,Decorative Birchfield Patina,Steel,Solid Core,Decorative,Morel,Decorative Birchfield Patina,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Decorative design with a morel finish and decorative birchfield patina glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517520.0,5740278
Exterior Pro Program,Decorative Birchfield Patina,Steel,Solid Core,Decorative,Morel,Decorative Birchfield Patina,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Decorative design with a morel finish and decorative birchfield patina glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517523.0,5740236
Exterior Pro Program,Decorative Craftsman Patina,Steel,Solid Core,Craftsman,Manchester,Decorative Craftsman Patina,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Craftsman design with a manchester finish and decorative craftsman patina glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517518.0,5740263
Exterior Pro Program,Decorative Craftsman Patina,Steel,Solid Core,Craftsman,Manchester,Decorative Craftsman Patina,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Craftsman design with a manchester finish and decorative craftsman patina glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517515.0,5740282
Exterior Pro Program,Decorative Camelia 3/4 Oval Patina,Steel,Solid Core,Decorative,Smooth,Decorative Camelia 3/4 Oval Patina,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Decorative design with a smooth finish and decorative camelia 3/4 oval patina glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517525.0,5740252
Exterior Pro Program,Decorative Camelia 3/4 Oval Patina,Steel,Solid Core,Decorative,Smooth,Decorative Camelia 3/4 Oval Patina,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a Decorative design with a smooth finish and decorative camelia 3/4 oval patina glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517514.0,5740230
Exterior Pro Program,,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517511.0,5740274
Exterior Pro Program,,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517513.0,5740229
Exterior Pro Program,,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517517.0,5740254
Exterior Pro Program,,Steel,Solid Core,2 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 2 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517516.0,5740234
Exterior Pro Program,,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",228472.0,6541994
Exterior Pro Program,,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",228471.0,6541990
Exterior Pro Program,,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",228474.0,6541997
Exterior Pro Program,,Fiberglass,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",228473.0,6541987
Exterior Pro Program,3/4 View 4-Lite,Fiberglass,Solid Core,4-Lite,Prefinished Black,3/4 View 4-Lite,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a 4-Lite design with a prefinished black finish and 3/4 view 4-lite glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459131.0,6542004
Exterior Pro Program,3/4 View 4-Lite,Fiberglass,Solid Core,4-Lite,Prefinished Black,3/4 View 4-Lite,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a 4-Lite design with a prefinished black finish and 3/4 view 4-lite glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459135.0,6542009
Exterior Pro Program,6-Lite,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Black,6-Lite,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a Craftsman Shaker design with a prefinished black finish and 6-lite glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459130.0,6542008
Exterior Pro Program,6-Lite,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Black,6-Lite,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a Craftsman Shaker design with a prefinished black finish and 6-lite glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459134.0,6542011
Exterior Pro Program,3-Lite,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Beechwood,3-Lite,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a Craftsman Shaker design with a prefinished beechwood finish and 3-lite glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459133.0,6542005
Exterior Pro Program,3-Lite,Fiberglass,Solid Core,Craftsman Shaker,Prefinished Beechwood,3-Lite,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a Craftsman Shaker design with a prefinished beechwood finish and 3-lite glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459128.0,6542002
Exterior Pro Program,Decorative Grid,Fiberglass,Solid Core,Shaker,Prefinished Beechwood,Decorative Grid,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a Shaker design with a prefinished beechwood finish and decorative grid glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459132.0,6542006
Exterior Pro Program,Decorative Grid,Fiberglass,Solid Core,Shaker,Prefinished Beechwood,Decorative Grid,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a Shaker design with a prefinished beechwood finish and decorative grid glass option (Single Prehung), Right Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",5459136.0,6542013
Exterior Pro Program,4-Lite,Fiberglass,Solid Core,Craftsman Shaker,Prefinished White,4-Lite,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,Composite Jamb,,"36.0-inch x 80.0-inch Fiberglass Solid Core door, featuring a Craftsman Shaker design with a prefinished white finish and 4-lite glass option (Single Prehung), Left Hand, bored, jamb type: Double Bore, hinge finish: Composite Jamb. Built for durability and style, perfect for enhancing your home's entryway.",1790355.0,6542025
